# Star Number Kenya Inventory - Part 2

| STAR NUMBER | STATUS | CATEGORY |
|-------------|--------|----------|
| *1000 | Available  | Diamond |
| *1001 | Available  | Gold |
| *1002 | Available  | Silver |
| *1003 | Available  | Silver |
| *1004 | Available  | Silver |
| *1005 | Available  | Silver |
| *1006 | Available  | Silver |
| *1007 | Available  | Silver |
| *1008 | Available  | Silver |
| *1009 | Available  | Silver |
| *1010 | Available  | Platinum  |
| *1011 | Available  | Gold |
| *1012 | Available  | Silver |
| *1013 | Available  | Silver |
| *1014 | Available  | Silver |
| *1015 | Available  | Silver |
| *1016 | Available  | Silver |
| *1017 | Available  | Silver |
| *1018 | Available  | Silver |
| *1019 | Available  | Silver |
| *1020 | Available  | Gold |
| *1021 | Available  | Silver |
| *1022 | Available  | Silver |
| *1023 | Available  | Silver |
| *1024 | Available  | Silver |
| *1025 | Available  | Silver |
| *1026 | Available  | Silver |
| *1027 | Available  | Silver |
| *1028 | Available  | Silver |
| *1029 | Available  | Silver |
| *1030 | Available  | Gold |
| *1031 | Available  | Silver |
| *1032 | Available  | Silver |
| *1033 | Available  | Silver |
| *1034 | Available  | Silver |
| *1035 | Available  | Silver |
| *1036 | Available  | Silver |
| *1037 | Available  | Silver |
| *1038 | Available  | Silver |
| *1039 | Available  | Silver |
| *1040 | Available  | Gold |
| *1041 | Available  | Silver |
| *1042 | Available  | Silver |
| *1043 | Available  | Silver |
| *1044 | Available  | Silver |
| *1045 | Available  | Silver |
| *1046 | Available  | Silver |
| *1047 | Available  | Silver |
| *1048 | Available  | Silver |
| *1049 | Available  | Silver |
| *1050 | Available  | Gold |
| *1051 | Available  | Silver |
| *1052 | Available  | Silver |
| *1053 | Available  | Silver |
| *1054 | Available  | Silver |
| *1055 | Available  | Silver |
| *1056 | Available  | Silver |
| *1057 | Available  | Silver |
| *1058 | Available  | Silver |
| *1059 | Available  | Silver |
| *1060 | Available  | Gold |
| *1061 | Available  | Silver |
| *1062 | Available  | Silver |
| *1063 | Available  | Silver |
| *1064 | Available  | Silver |
| *1065 | Available  | Silver |
| *1066 | Available  | Silver |
| *1067 | Available  | Silver |
| *1068 | Available  | Silver |
| *1069 | Available  | Silver |
| *1070 | Available  | Gold |
| *1071 | Available  | Silver |
| *1072 | Available  | Silver |
| *1073 | Available  | Silver |
| *1074 | Available  | Silver |
| *1075 | Available  | Silver |
| *1076 | Available  | Silver |
| *1077 | Available  | Silver |
| *1078 | Available  | Silver |
| *1079 | Available  | Silver |
| *1080 | Available  | Gold |
| *1081 | Available  | Silver |
| *1082 | Available  | Silver |
| *1083 | Available  | Silver |
| *1084 | Available  | Silver |
| *1085 | Available  | Silver |
| *1086 | Available  | Silver |
| *1087 | Available  | Silver |
| *1088 | Available  | Silver |
| *1089 | Available  | Silver |
| *1090 | Available  | Gold |
| *1091 | Available  | Silver |
| *1092 | Available  | Silver |
| *1093 | Available  | Silver |
| *1094 | Available  | Silver |
| *1095 | Available  | Silver |
| *1096 | Available  | Silver |
| *1097 | Available  | Silver |
| *1098 | Available  | Silver |
| *1099 | Available  | Silver |
| *1100 | Available  | Platinum  |
| *1101 | Available  | Silver |
| *1102 | Available  | Silver |
| *1103 | Available  | Silver |
| *1104 | Available  | Silver |
| *1105 | Available  | Silver |
| *1106 | Available  | Silver |
| *1107 | Available  | Silver |
| *1108 | Available  | Silver |
| *1109 | Available  | Silver |
| *1110 | Available  | Platinum  |
| *1111 | Available  | Diamond |
| *1112 | Available  | Platinum  |
| *1113 | Available  | Platinum  |
| *1114 | Available  | Platinum  |
| *1115 | Available  | Platinum  |
| *1116 | Available  | Platinum  |
| *1117 | Available  | Platinum  |
| *1118 | Available  | Platinum  |
| *1119 | Available  | Platinum  |
| *1120 | Available  | Silver |
| *1121 | Available  | Silver |
| *1122 | Available  | Gold |
| *1123 | Available  | Silver |
| *1124 | Available  | Silver |
| *1125 | Available  | Silver |
| *1126 | Available  | Silver |
| *1127 | Available  | Silver |
| *1128 | Available  | Silver |
| *1129 | Available  | Silver |
| *1130 | Available  | Silver |
| *1131 | Available  | Silver |
| *1132 | Available  | Silver |
| *1133 | Available  | Gold |
| *1134 | Available  | Silver |
| *1135 | Available  | Silver |
| *1136 | Available  | Silver |
| *1137 | Available  | Silver |
| *1138 | Available  | Silver |
| *1139 | Available  | Silver |
| *1140 | Available  | Silver |
| *1141 | Available  | Silver |
| *1142 | Available  | Silver |
| *1143 | Available  | Silver |
| *1144 | Available  | Gold |
| *1145 | Available  | Silver |
| *1146 | Available  | Silver |
| *1147 | Available  | Silver |
| *1148 | Available  | Silver |
| *1149 | Available  | Silver |
| *1150 | Available  | Silver |
| *1151 | Available  | Silver |
| *1152 | Available  | Silver |
| *1153 | Available  | Silver |
| *1154 | Available  | Silver |
| *1155 | Available  | Gold |
| *1156 | Available  | Silver |
| *1157 | Available  | Silver |
| *1158 | Available  | Silver |
| *1159 | Available  | Silver |
| *1160 | Available  | Silver |
| *1161 | Available  | Silver |
| *1162 | Available  | Silver |
| *1163 | Available  | Silver |
| *1164 | Available  | Silver |
| *1165 | Available  | Silver |
| *1166 | Available  | Gold |
| *1167 | Available  | Silver |
| *1168 | Available  | Silver |
| *1169 | Available  | Silver |
| *1170 | Available  | Silver |
| *1171 | Available  | Silver |
| *1172 | Available  | Silver |
| *1173 | Available  | Silver |
| *1174 | Available  | Silver |
| *1175 | Available  | Silver |
| *1176 | Available  | Silver |
| *1177 | Available  | Gold |
| *1178 | Available  | Silver |
| *1179 | Available  | Silver |
| *1180 | Available  | Silver |
| *1181 | Available  | Silver |
| *1182 | Available  | Silver |
